brand,name,year,mileage,transmission,fuel,price,description,date
toyota,Toyota Corolla 2023,2023,"50,000 KM",Automatic,Gas,"1,450,000","تويوتا كورولا 
2023
الفئة الرابعة
عداد ٥٠ الف صيانات منتظمة
فابريكا بالكامل بدون ملحوظة 
رخصة ٨ شهور 
معاينة الزقازيق 
[redacted phone number]#(01289002125)",2026-04-26
toyota,Toyota Corolla 2019,2019,"133,000 KM",Automatic,Gas,"1,050,000","تويوتا كورولا اعلي فئه ليجانس 
رشه حزم ورنيش دواخل فابريكه فيها رخصه سنه",2026-04-10
toyota,Toyota Fortuner 2026,2026,0 KM,Automatic,Gas,"3,950,000","Toyota Fortuner
Model : 2026
Zerooo Sport
4000 CC V6 
For Contact:",2026-04-14
toyota,Toyota Corolla 2026,2026,0 KM,Automatic,Gas,"1,500,000","The opportunity is in your hands... the next step is yours! 
With AUTO 4 YOU, the journey to your new car begins without complications:
 - No sales ban
 - No administrative fees
 - Flexible installments for up to 7 years
 - No mandatory insurance
 - Free licensing
 - Cash back gift
 - Approval in just 20 minutes
Available installments for all banks and companies 
This means not only will you get the car you've always dreamed of... but you'll also get it in the easiest way with the best conveniences. 
⏳ Why wait? Your car is waiting for you now with AUTO 4 YOU.",2026-03-30
toyota,Toyota Land Cruiser 2026,2026,0 KM,Automatic,Gas,"7,850,000","Land Cruiser 2026 VXR بضاعة حاضرة 
مواصفة كاملة",2026-04-18
toyota,Toyota Yaris 2017,2017,"120,000 KM",Automatic,Gas,"790,000","TOYOTA YARIS 2017 FULL OPTION
ZERO CONDITION - 120,000 KM ONLY

بحالة ممتازة
صيانات منتظمة
موفرة جدًا في البنزين

تفاصيل السيارة:
النوع: تويوتا ياريس
الموديل: 2017
ناقل الحركة: أوتوماتيك
العداد: 120,000 كم
الحالة: ممتازة
اللون: أبيض لؤلؤي

طرق الدفع:
كاش أو تقسيط عن طريق شركات التمويل

العنوان:
24 ب شارع أنور المفتي خلف طيبة مول مدينة نصر - رضوان موتورز

للتواصل:
01008886441
01000507444
واتساب: 01282303333

RADWAN MOTORS",2026-04-10
toyota,Toyota Hilux 2025,2025,0 KM,Automatic,Diesel,"4,200,000","تويوتا هاى لوكس
2025
تعديل GR",2026-04-10
toyota,Toyota Corolla 1998,1998,"350,000 KM",Manual,Gas,"250,000","تويوتا كرولا ليفت باك ١٩٩٨ 
حالة ممتازة جدا من كل شيء من موتور و الات جر و صالون محترم 
لغاوي الحالات المحترمة و النادرة فقط و الي يقدر العربية بها تكييف حالته ممتازة ،زجاج كهرباء ومرايات كهرباء سنتر لوك، ايرباج سائق، جنوط اسبور، و عدة صوت سوني ، شنطة كبيرة جدا و بتقلب كراسي تشيل اي حاجات كبيرة ، طقم كاوتش و بطارية من ٦ شهور ، اداء ممتاز علي السرعات العالية و السفر، 
اقصادية في البنزين جدا 
مش هتصرف جنية علي العربية ، رخصة سنتين باسمي،تاني مالك للسيارة ، رشة خارجي و بها ملحوظة صغيرة في الحوض 
 مطلوب ٢٥٠,٠٠٠",2026-04-13
toyota,Toyota Corolla 2021,2021,"86,000 KM",Automatic,Gas,"1,160,000","تويوتا كورولا 2021 بحالة الزيرو 
فئة تانية معدلة فئة تالتة 
مثبت سرعة وشاشة عرض بلوتوث و كاميرا خلفية وحساسات ركن
صالون جلد المانى تفصيل وارضية جلد 
فبريكة بالكامل من الاكصدام للاكصدام 
86 الف كيلو فقط 
صيانات منتظمة بالتوكيل لحد صيانة ال 82
كاوتش جديد 
رخصة لاخر السنة مرور مدينة نصر
المعاينة باكتوبر 
مطلوب مليون 160 الف قابل للتفاوض بعد المعاينة ان شاء الله 
للتواصل 01282428867",2026-04-26
toyota,Toyota Corolla 2026,2026,0 KM,Automatic,Gas,"1,700,000",Toyota Corolla 2026 P4 zero,2026-04-26
toyota,Toyota Corolla 2022,2022,"120,000 KM",Automatic,Gas,"1,160,000","تويوتا كورولا ٢٠٢٢ فئه تانيه 
متزود فيها حساسات اماميه و مثبت سرعه 
فبريكا بالكامل 
عداد ١٢٢ صيانات توكيل 
رخصه سنه
متاح الكشف في اي مكان 
المعاينه مدينه نصر
للاستفسار : [redacted phone number]#(01097667907)",2026-04-27
toyota,Toyota Corolla 2015,2015,"118,000 KM",Automatic,Gas,"850,000","السيارة فبريكا بالكامل 
اعلى فئة بصمة بدون فتحة سقف 
عداد 118 الف كيلو",2026-04-27
toyota,Toyota Corolla 2007,2007,"205,000 KM",Automatic,Gas,"670,000","للبيع عربية تويوتا كورولا 2007
لون شامبين
عداد 205 ألف كيلو
فابريكا بالكامل
1600 cc
رخصة سنتين - مرور الغربية
بدون توكيلات

للتواصل/
01005449032",2026-04-27
toyota,Toyota Corolla 2025,2025,"11,000 KM",Automatic,Gas,"1,550,000","2025
فابريكا بالكامل صيانات وكيل 
11,000كم فقط 
كسر زيرو 
عليها طبقه حمايه بالكامل 
كامله فتحه سقف و بصمه 
لا تحتاج إلي أي مصاريف نهائي",2026-04-27
toyota,Toyota Corolla 2026,2026,0 KM,Automatic,Gas,"1,620,000","متاح جميع الالوان و الفئات
متاح جميع انظمة التقسيط مع البنوك و الشريكات
موفقات فورية سرعة في الاجراءات
السعر النهائي عبر الهاتف او داخل المعرض نظريا لتغير الاسعار
للتواصل مع الفريق

٠١١٢٠٨٩٨٢٤٠
٠١١١٧٥١٤٨٦٥
٠١١٠٢٠٧٠٠٥١
٠١٠٧٠٤٢٦٩٤٨",2026-04-27
toyota,Toyota Fortuner 2017,2017,"185,000 KM",Automatic,Gas,"2,000,000",2017 دواخل فبريكا راشه برا رخصه سنه فاميه مثبوت في الرخصه وسلم جانبي كوتش جديد,2026-04-27
toyota,Toyota Yaris 2017,2017,"130,000 KM",Automatic,Gas,"750,000",تويوتا ياريس كاملة اتوماتيك فبريكا بالكامل مضاف شاشة و كاميرا و زنون إضاءة معمول صيانة كاملة ١٠ تلاف عداد ١٣٠ الف كيلو باقي في الرخصة شهر,2026-04-27
toyota,Toyota Urban Cruiser 2026,2026,0 KM,Automatic,Gas,"1,450,000","متاح جميع الالوان و الفئات
متاح جميع انظمة التقسيط مع البنوك و الشريكات
موفقات فورية سرعة في الاجراءات
السعر النهائي عبر الهاتف او داخل المعرض نظريا لتغير الاسعار
للتواصل مع الفريق 

٠١١٢٠٨٩٨٢٤٠
٠١١١٧٥١٤٨٦٥
٠١١٠٢٠٧٠٠٥١
٠١٠٧٠٤٢٦٩٤٨",2026-04-27
toyota,Toyota Corolla 2025,2025,"10,000 KM",Automatic,Gas,"1,530,000",تويوتا كورولا ٢٠٢٥الفئه التالته اسمارت ١٠ الاف ك مالك اول صيانات توكيل فيلم حمايه رخصه سنتين ونص لايوجد خربوش واحد سياره زيرو تماما متواجده دايما بجراج البيت لعدم الاحتياج مصروف عليها رخصه واسكرينا ب ٦٠ الف ج,2026-04-23
toyota,Toyota Corolla 2019,2019,"78,000 KM",Automatic,Gas,"1,020,000","Toyota Corolla 2019
عداد: 78,000 كم
فبريكا بالكامل (جوه وبره)
صيانات توكيل بالفواتير

العربية حالتها ممتازة جدًا
مش محتاجة أي مصاريف",2026-04-27
toyota,Toyota Corolla 2010,2010,"300,000 KM",Automatic,Gas,"535,000",تيوتا كرولا 2010 جنوب مكنه وفتيس يباني رشه بره معادا السقف دواخل فبريكا رخصه سنه ونص مرور حدائق الاهرام,2026-04-27
toyota,Toyota Yaris 2008,2008,240 KM,Automatic,Gas,"450,000","The Hyundai Elantra is up for sale with a practical specification set and notable maintenance updates. This listing shows the car with 210,729 kilometers driven and an automatic transmission. The exterior color is not specified. Key features include air conditioning, remote keyless entry, driver and passenger airbags, front and rear power windows, cassette radio with AM/FM, alarm system, leather seats, fog lights, power steering, AUX and USB ports, Bluetooth, rear camera, anti-theft system, multifunction steering, Xenon headlights, ISOFIX anchors, front and rear speakers, touchscreen, and additional rear fog lighting. Recent maintenance updates include new front brake pads installed, new tires fitted, and a new battery installed. The car also includes a Xenon headlight setup and a comprehensive infotainment system. This Elantra can serve daily commuting needs with a balanced mix of comfort and functionality. For more information or to arrange a viewing, contact the seller.",2026-04-27
toyota,Toyota Corolla 2021,2021,"90,000 KM",Automatic,Gas,"1,100,000","صيانة توكيل حتي الان 
فرش جلد + الشنطه والارضيه مثبت سرعة حساسات خلفي",2026-04-26
toyota,Toyota Corolla 2025,2025,"62,000 KM",Automatic,Gas,"1,500,000","كورولا الفئه الخامسه إليجانس2025
 اللون كحلي + أسود 

 عداد 61 الف ك ، صيانااااات توكيل

مالك أول من الزيروووووو

فابريكة بالكامل......

مرور سمالوط المنيا ، رخصه لحد شهر 1 / 2027

معموله اسكرينه للعربيه بالكامل 

راكبلها شاشه كبيره وشبورة 3 لون وكاميرات 360 ( 4 كاميرات )",2026-04-26
toyota,Toyota Corolla 2020,2020,"50,000 KM",Automatic,Gas,"1,050,000","Toyota corolla model 2020 فابريكا بالكامل 
عداد ٥٠ ألف كم اول فئة 
رخصة سنتين",2026-04-26
toyota,Toyota Corolla 1996,1996,"196,000 KM",Automatic,Gas,"300,000","للبيع سيارة كورولا الملكة موديل 1996 
حالة ممتازة موفرة في البنزين – فرش جلد – صيانة منتظمة. السيارة مشدودة بالكامل 
عداد 196,000 كم، رخصة سارية 3 شهور
المعاينة العاشر من رمضان",2026-04-26
toyota,Toyota Corolla 2022,2022,"80,000 KM",Automatic,Gas,"1,130,000","تعتبر تويوتا كورولا 2022 (Active) من أكثر السيارات اعتمادية في فئتها، وإليك أبرز مواصفاتها الفنية والتجهيزات التي تأتي بها:
​1. الأداء والمحرك
​المحرك: 1600 سي سي، 4 سلندر.
​القوة الحصانية: 120 حصان.
​عزم الدوران: 154 نيوتن/متر.
​ناقل الحركة: CVT (أوتوماتيك).
​نظام التعليق: خلفي Double Wishbone، مما يوفر راحة وثباتاً ممتازاً على الطريق.
​2. وسائل الأمان والسلامة
​تتميز تويوتا بتوفير أساسيات الأمان حتى في الفئة الأولى:
​نظام الفرامل المانع للانغلاق (ABS).
​توزيع إلكتروني للفرامل (EBD).
​نظام المساعدة على صعود المرتفعات (HAC).
​نظام الثبات الإلكتروني (VSC).
​وسائد هوائية للسائق والراكب الأمامي.
​نظام مراقبة ضغط الإطارات.
​3. التجهيزات الخارجية
​جنوط حديد مقاس 15 بوصة مع أغطية (طاسات).
​أضواء أمامية هالوجين.
​أضواء نهارية LED.
​مرايا جانبية كهربائية.
​4. التجهيزات الداخلية والرفاهية
​تكييف هواء يدوي (بمخرج خلفي في بعض النسخ).
​نظام صوتي (راديو + CD) مع مخارج AUX و USB.
​خاصية الربط بالهاتف عبر Bluetooth.
​عجلة قيادة متعددة الوظائف (Multi-function Steering).
​نظام إيموبليزر ضد السرقة.
​زجاج كهربائي بالكامل. سنتر تحكم بالريموت رفع زجاج بالكامل تحكم طاره ومثبت سرعه ارباج abs حساسات خلفي مخدع امامي وخلفي 
​ صيانات توكيل او مالك من زيرو /للتواصل",2026-04-02
toyota,Toyota Corolla 2026,2026,0 KM,Automatic,Gas,"1,570,000","‎كورولا فئة ثالثة سمارت 2026 زيرو - التعديل الجديد - كاميرا خلفية و مرايات سوداء 
‎دخول بصمة 
‎ليدات امامي و خلفي

melegy 
01080003384 / 01034404405
01034404406 / 01034404407
Chillout Airport Suez Rd.",2026-04-26
toyota,Toyota Corolla 2014,2014,"147,000 KM",Automatic,Gas,"800,000",تويوتا كورولا 2014 خليجى فبريكا عدا مرات باب امامى بصمه كامله عدا فتحت سقف ماشيه 147000كيلو شاشه تاتش تكيف تلاجه مريات ضم باقى فى الرخصه سنه كاملة بدون اي مصروف صيانات منتظمة,2026-04-26
toyota,Toyota Fortuner 2026,2026,0 KM,Automatic,Gas,"4,000,000",• TOYOTA FORTUNER 2026 zero,2026-04-20
hyundai,Hyundai Santa Fe 2025,2025,0 KM,Automatic,Hybrid,"3,450,000","استلم الان hyundai SANTA FE 2025 الوحش الكوري من الاحمدي موتورز ومتفوتش الفرصه 
كاش باك حصري
مقدمات تبدأ من 25% فقط 
قسط يصل حتى 8 سنوات
بدون مصاريف ادارية 
بدون تأمين 
اسرع موافقه بنكيه 
جميع الفئات والالوان
لمزيد من التفاصيل برجاء الاتصال بنا على الارقام التاليه: 
01211901190
01227011070",2026-04-27
hyundai,Hyundai Tucson GDI 2024,2024,"23,000 KM",Automatic,Gas,"1,880,000","Hyundai Tucson 2024 Korean Full Option – Facelift 2025 Shape 

توسان كوري أعلى فئة كاملة التجهيزات، موديل 2024 بالشكل الجديد Facelift 2025، تصميم عصري وتجهيزات فاخرة مع أحدث أنظمة الأمان والراحة. 

 موديل 2024 – الشكل الجديد Facelift 2025
 أعلى فئة كوري Full Option (Inspiration / Signature) محرك 1.6 Turbo قوي واقتصادي فتيس DCT / DSA أوتوماتيك 7 سرعات
تشغيل بصمة + دخول ذكي Smart Key
دوار موتور / Remote Engine Start
سقف بانوراما كامل
 شاشة عدادات ديجيتال Full LCD
 شاشة وسطية كبيرة 
Touch Screen Apple CarPlay & Android Auto
 كاميرات 360°
 حساسات أمامية وخلفية
نظام ركن ذكي
كراسي كهرباء Memory
 تبريد وتسخين المقاعد الأمامية
تبريد وتسخين الدركسيون
فرش جلد فاخر
 إضاءة داخلية Ambient Light
 نظام صوتي Premium
 Head-Up Display
مثبت سرعة ذكي
Smart Cruise Control
 Lane Keep Assist الحفاظ على المسار 
Blind Spot Assist مراقبة النقطة العمياء Front Collision Avoidance
نظام قيادة شبه ذاتي Highway Driving Assist
 باب شنطة كهربائي Smart Tailgate
مرايات كهرباء ضم وتسخين 
جنوط رياضية 19 بوصة
إضاءة LED أمامية وخلفية كاملة
 Paddle Shift خلف الدركسيون
 أوضاع قيادة متعددة Drive Modes
عزل صوت ممتاز وثبات عالي على الطريق
 دفع أمامي أو HTRAC AWD حسب الفئة

السيارة تعتبر من أعلى فئات التوسان الكوري، وتتميز بتحديثات الفيس لفت الجديد من الخارج والداخل مع شاشة بانورامية وتصميم داخلي أحدث وتقنيات أمان متطورة.",2026-04-23
hyundai,Hyundai Azera 2023,2023,"24,000 KM",Automatic,Hybrid,"2,280,000","هيونداي أزيرا موديل 2023 (المعروفة في كوريا باسم Grandeur) أعلى فئة كاملة التجهيزات، سيارة سيدان فاخرة فئة رجال الأعمال بتكنولوجيا حديثة وراحة VIP. 
* موديل 2023
* اسم الموديل في كوريا: Grandeur / جرانديور
* أعلى فئة Full Option (Calligraphy / Premium)
* بانوراما سقف Panoramic Sunroof
* محرك 2.5 Turbo أو 3.5 V6 حسب النسخة
* قوة تصل حتى 300 حصان تقريبًا في الفئة الأعلى 
* فتيس أوتوماتيك 8 سرعات
Auto Data
* شاشة وسطية كبيرة Touch Screen
* شاشة عدادات ديجيتال 12.3 بوصة
* نظام صوت Premium JBL / Lexicon (حسب الفئة)
* كاميرا 360°
* حساسات ركن أمامية وخلفية
* نظام ركن ذكي
* كراسي جلد فاخر Premium
* كراسي كهرباء بالكامل مع ذاكرة
* تسخين + تبريد المقاعد
* مساج في المقاعد (في أعلى فئة)
* دعم قطني كهربائي
* تكييف أوتوماتيك متعدد المناطق
* فتحات تكييف خلفية
* إضاءة داخلية Ambient Light
* تشغيل بصمة + دخول ذكي
* مرايات ضم كهرباء + تعتيم أوتوماتيك
* نظام قيادة ذكي (Smart Sense) يشمل:
مثبت سرعة متكيف Adaptive Cruise
نظام الحفاظ على المسار Lane Assist
مراقبة النقطة العمياء Blind Spot
فرامل طوارئ تلقائية
* Head-Up Display
* شاحن لاسلكي
* أوضاع قيادة متعددة Drive Mode
* جنوط رياضية كبيرة
* إضاءة LED أمامية وخلفية
السيارة تعتبر من أفخم سيارات هيونداي على الإطلاق، وتجمع بين الفخامة الكاملة + التكنولوجيا + الراحة العالية جداً، ومناسبة جداً لسيارات رجال الأعمال والسفر الطويل.",2026-04-23
hyundai,Hyundai Tucson GDI 2026,2026,0 KM,Automatic,Gas,"1,625,000",,
hyundai,Hyundai Tucson GDI 2026,2026,0 KM,Automatic,Gas,"1,675,000",,
hyundai,Hyundai Elantra 2025,2025,0 KM,Automatic,Gas,"1,330,000","Model 2025
Zero
Highest category
Import, Gulf specifications
Internal and external fingerprint
The price is final

Electric seats
Sunroof
Rear camera
Front and rear sensors",2026-04-04
hyundai,Hyundai Tucson 2008,2008,"220,000 KM",Automatic,Gas,"610,000","هيونداى توسان ٢٠٠٨ ٢٠٠٠ CC
دفع رباعي 
أعلى فئة
عداد ٢٢٠ الف كم
فابريكا دواخل بالكامل
دهان خارجى عدا سقف وشنطة 
وسائد هوائية 
محدد سرعة
فتحة سقف
فرش جلد أصلى 
تكييف touch 
كاوتش جديد
ABS/EBD
متاح انظمة تقسيط بنوك/مباشر /شركات.
للتواصل يرجي الاتصال ع أ/رانيا",2026-04-10
hyundai,Hyundai I30 2026,2026,0 KM,Automatic,Gas,"1,410,000","امتلك سيارتك من ايست جيت اوتو مع اقل فائده - اقل مقدم - بدون تامين اجباري - بدون مصاريف اداريه

For Sale: 

Hyundai i30 
Model: 2026
Category: Redline اعلى فئه 

كراسي كهرباء
بانوراما 
بصمه

متاح كاش و تقسيط
اقل مقدم - اقل فايده - اطول فتره سداد

Location: In front of Gate 20 Rehab, Chillout Gas Station

01013037777",2026-04-27
hyundai,Hyundai Elantra 2020,2020,"120,000 KM",Automatic,Gas,"780,000","هيونداي إلينترا  2020 HD استلام فوري
 تانى فئة فتحة سقف
متاح جميع انظمة التقسيط مع كافة البنوك و الشركات اسرع و اسهل اجراءات
موافقات فورية
اقل فايدة و اقل اسقط و اقل مقدم",2026-04-13
hyundai,Hyundai Tucson GDI 2026,2026,0 KM,Automatic,Gas,"1,755,000",,
hyundai,Hyundai Accent RB 2023,2023,"51,000 KM",Automatic,Gas,"790,000","أكسنت RB موديل 2023 توب لاين 
- لون ذهبي فابريكة بالكامل ( عدا جنب يمين )
- ⁠عداد ( 51 ) الف كم صيانات منتظمة من الزيرو
- ⁠  رخصة سنتين مرور التجمع 
- ⁠الكماليات ( فتحة سقف - فرامل ABS - ٢ ايرباج - كاسيت تاتش بكاميرا خلفية - حساسات خلفية - تارة مالتي - مثبت سرعة - جنوط سبور - فرش جلد - فاميه مثبوت علي الرخصة - فوجات )",2026-04-27
hyundai,Hyundai Accent RB 2024,2024,"76,000 KM",Automatic,Gas,"790,000","أكسنت RB موديل 2024 الفئة الثالثة 
- لون رمادي فابريكة بالكامل 
- ⁠عداد ( 75 ) الف كم صيانات منتظمة من الزيرو 
- ⁠  رخصة سنتين مرور التجمع 
- ⁠الكماليات ( فرامل ABS EBD - ٢ ايرباج - تارة مالتي - فرش جلد - فاميه مثبوت علي الرخصة - فوجات )",2026-04-27
hyundai,Hyundai Getz 2011,2011,"66,000 KM",Automatic,Gas,"525,000","هونداى جيتس ٢٠١١ 
عداد 66.000كم 
صيانات منتظمه 
فابريكا بالكامل ما عداد بابين
مطلوب 525.000",2026-04-27
hyundai,Hyundai Elantra 2026,2026,"7,000 KM",Automatic,Gas,"1,225,000","Ad
2026
توب لاين 
7000 كم
رخصه سنه 
كسر زيرو 
متاح تقسيط بنوك وشركات
01050604691
01050604692
01050604693",2026-04-23
hyundai,Hyundai Elantra MD 2012,2012,"150,300 KM",Automatic,Gas,"670,000","هيونداي النترا 2012 (MD) – حالة ممتازة

 اللون: أسود (Blacked Out)
 ناقل الحركة: أوتوماتيك
 العداد: 150,000 كم (قابل للزيادة)
 تاني مالك من الزيرو
 مرور ٦ أكتوبر

: الحالة والصيانة
• فبريكا دواخل + كبوت + شنطة
• رش خارجي للتجميل
• كاوتش بيريللي 2025 (حالة ممتازة)
• بطارية بوش 2024
• بوجيهات NGK
• عفشة Mando
• صيانة دورية منتظمة بقطع غيار أصلية
• جدول صيانة كامل من الزيرو

 المواصفات والإضافات:
• شاشة سيمفوني + كاميرا خلفية
• تكييف جيد جدا
• جميع الكماليات الأساسية
السعر قابل للتفاوض (البسيط) بعد المعاينة للجادين فقط
المعاينة: ٦ اكتوبر بعد الساعة ٥:٣٠ م
رخصة حتى سبتمبر ٢٠٢٦",2026-04-27
hyundai,Hyundai Tucson GDI 2018,2018,"120,000 KM",Automatic,Gas,"1,260,000","هيونداي توسان ٢٠١٨ GDI 
هاي لاين كاملة كل حاجة ماعدا الشنطة والفرامل الكهرباء 
عداد ١٢٠ الف كيلو صيانات توكيل بالكامل بالفواتير 
فابريكا بالكامل عدا داير رفرف امامي يمين وباب امامي يمين
ورنيش تلميع لمعالجة خرابيش بالكبوت فقط ومتاح الكشف والفحص في اي مكان في نطاق المهندسين او الدقي او الزمالك او العجوزة 
سيارة أسرة إستعمال راقي موتور وفتيس محلوش مسمار 
عفشة ممتازة بدون تخبيط او تزييء 
تكييف تلاجة 
مالك اول من الزيرو 
مرور المعادي رخصة سنتين 
كاش وتقسيط",2026-04-26
hyundai,Hyundai Elantra AD 2019,2019,"130,000 KM",Automatic,Gas,"780,000","هيونداي النترا AD 2019 
راشه حزام نضافه 
تاني فئه فتحت سقف",2026-04-26
hyundai,Hyundai Tucson 2017,2017,"130,000 KM",Automatic,Gas,"1,240,000",هيونداي توسان 2017 اعلي فئه كرسي كهرباء فتحت سقف بانوراما بصمه,2026-04-26
hyundai,Hyundai Elantra 1994,1994,"300,000 KM",Automatic,Gas,"190,000","هيونداي النترا 
١٩٩٤
فبريكه دواخل
أوتوماتيك 
١٦٠٠ 

المعاينة في (معرض كسر زيرو اوتوموتيف - ١٠١ شارع نصر الدين الهرم)

 
للتواصل: 01156293747
011 50218668.
01124710888

+20 122 413 0280",2026-04-08
hyundai,Hyundai Elantra 2026,2026,0 KM,Automatic,Gas,"1,350,000",متاح جميع انظمه التقسط,2026-04-19
